effect,run_id,pair_group,left_config,right_config,n_paired_completed,left_correctness_mean,right_correctness_mean,delta_correctness_mean,delta_correctness_wilcoxon_p,delta_correctness_sig,left_faithfulness_mean,right_faithfulness_mean,delta_faithfulness_mean,delta_faithfulness_wilcoxon_p,delta_faithfulness_sig,left_answer_relevance_mean,right_answer_relevance_mean,delta_answer_relevance_mean,delta_answer_relevance_wilcoxon_p,delta_answer_relevance_sig,left_context_support_mean,right_context_support_mean,delta_context_support_mean,delta_context_support_wilcoxon_p,delta_context_support_sig,left_overall_mean,right_overall_mean,delta_overall_mean,delta_overall_wilcoxon_p,delta_overall_sig,left_answer_accuracy_mean,right_answer_accuracy_mean,delta_answer_accuracy_mean,left_context_sufficiency_rate_mean,right_context_sufficiency_rate_mean,delta_context_sufficiency_rate_mean,left_faithfulness_rate_mean,right_faithfulness_rate_mean,delta_faithfulness_rate_mean,left_contradiction_rate_mean,right_contradiction_rate_mean,delta_contradiction_rate_mean,left_retrieval_failure_rate_mean,right_retrieval_failure_rate_mean,delta_retrieval_failure_rate_mean,left_generation_failure_rate_mean,right_generation_failure_rate_mean,delta_generation_failure_rate_mean,left_overconfidence_rate_mean,right_overconfidence_rate_mean,delta_overconfidence_rate_mean,left_false_refusal_rate_mean,right_false_refusal_rate_mean,delta_false_refusal_rate_mean,left_context_tokens_est_mean,right_context_tokens_est_mean,delta_context_tokens_est_mean,delta_context_tokens_est_pct,left_latency_ms_mean,right_latency_ms_mean,delta_latency_ms_mean,delta_latency_ratio_pct,latency_source
retriever,run_20260518_211132_unknown_4fa43fdd,baseline_k_grounded -> baseline_s_grounded,baseline_k_grounded,baseline_s_grounded,50,64.0,58.0,-6.0,0.466854,False,79.8,90.0,10.2,0.121335,False,92.2,94.8,2.6,0.863082,False,84.4,94.0,9.6,0.140091,False,68.4,62.2,-6.2,0.323124,False,64.0,58.0,-6.0,84.0,94.0,10.0,80.0,84.0,4.0,18.0,18.0,0.0,16.0,4.0,-12.0,26.0,36.0,10.0,0.0,0.0,0.0,10.0,6.0,-4.0,628.28,610.7,-17.58,-2.8,21288.3,839.3,-20449.0,-96.06,per_sample
retriever,run_20260518_211132_unknown_4fa43fdd,baseline_k_rr_grounded -> baseline_s_rr_grounded,baseline_k_rr_grounded,baseline_s_rr_grounded,50,58.0,66.8,8.8,0.206564,False,78.0,86.4,8.4,0.271357,False,86.0,93.6,7.6,0.217351,False,80.4,94.0,13.6,0.051929,False,63.8,70.6,6.8,0.45756,False,58.0,66.0,8.0,80.0,94.0,14.0,78.0,84.0,6.0,16.0,20.0,4.0,18.0,4.0,-14.0,22.0,28.0,6.0,0.0,2.0,2.0,8.0,6.0,-2.0,635.68,624.68,-11.0,-1.73,17426.1,1446.8,-15979.3,-91.7,per_sample
retriever,run_20260518_211132_unknown_4fa43fdd,optimized_k -> optimized_s,optimized_k,optimized_s,50,44.0,71.6,27.6,0.001492,True,54.0,74.0,20.0,0.012531,True,75.5,95.2,19.7,0.016639,True,66.0,98.0,32.0,0.000162,True,48.8,75.48,26.68,0.000106,True,44.0,70.0,26.0,70.0,98.0,28.0,48.0,72.0,24.0,28.0,22.0,-6.0,26.0,2.0,-24.0,26.0,30.0,4.0,4.0,0.0,-4.0,8.0,10.0,2.0,546.54,533.64,-12.9,-2.36,34842.1,1497.0,-33345.1,-95.7,per_sample
retriever,run_20260518_211132_unknown_4fa43fdd,optimized_k_rr -> optimized_s_rr,optimized_k_rr,optimized_s_rr,50,58.0,74.8,16.8,0.041009,True,66.0,77.6,11.6,0.121829,False,84.0,92.8,8.8,0.095739,False,78.0,98.0,20.0,0.003892,True,61.1,79.3,18.2,0.013607,True,58.0,74.0,16.0,80.0,98.0,18.0,66.0,76.0,10.0,24.0,24.0,0.0,18.0,2.0,-16.0,22.0,24.0,2.0,4.0,0.0,-4.0,14.0,2.0,-12.0,536.78,538.94,2.16,0.4,27506.4,1042.6,-26463.8,-96.21,per_sample
retriever,run_20260518_211132_unknown_4fa43fdd,optimized_k_grounded -> optimized_s_grounded,optimized_k_grounded,optimized_s_grounded,50,54.0,76.0,22.0,0.02181,True,86.0,82.0,-4.0,0.59298,False,93.2,91.6,-1.6,0.87729,False,60.0,98.0,38.0,3.4e-05,True,59.3,78.1,18.8,0.040798,True,54.0,76.0,22.0,60.0,88.0,28.0,86.0,80.0,-6.0,8.0,16.0,8.0,40.0,12.0,-28.0,16.0,24.0,8.0,2.0,0.0,-2.0,8.0,4.0,-4.0,546.54,533.64,-12.9,-2.36,34590.7,1070.9,-33519.8,-96.9,per_sample
retriever,run_20260518_211132_unknown_4fa43fdd,optimized_k_rr_grounded -> optimized_s_rr_grounded,optimized_k_rr_grounded,optimized_s_rr_grounded,50,64.0,70.0,6.0,0.438578,False,83.2,83.2,0.0,0.869798,False,100.0,92.8,-7.2,0.042168,True,86.0,98.0,12.0,0.033895,True,69.58,76.86,7.28,0.212484,False,64.0,70.0,6.0,86.0,98.0,12.0,86.0,82.0,-4.0,12.0,22.0,10.0,14.0,2.0,-12.0,22.0,28.0,6.0,0.0,0.0,0.0,10.0,8.0,-2.0,536.78,538.94,2.16,0.4,27287.6,1114.2,-26173.4,-95.92,per_sample
retriever,run_20260518_214033_unknown_ac2bbe71,baseline_k -> baseline_s,baseline_k,baseline_s,50,62.0,67.0,5.0,0.571608,False,68.0,71.0,3.0,0.789692,False,89.6,94.0,4.4,0.374867,False,74.2,84.0,9.8,0.191583,False,65.6,69.3,3.7,0.978465,False,62.0,66.0,4.0,74.0,86.0,12.0,66.0,72.0,6.0,32.0,20.0,-12.0,26.0,14.0,-12.0,16.0,22.0,6.0,22.0,4.0,-18.0,0.0,6.0,6.0,628.28,610.7,-17.58,-2.8,21933.2,1251.2,-20682.0,-94.3,per_sample
retriever,run_20260518_214033_unknown_ac2bbe71,baseline_k_rr -> baseline_s_rr,baseline_k_rr,baseline_s_rr,50,64.0,80.0,16.0,0.032509,True,63.4,84.0,20.6,0.002404,True,89.6,97.2,7.6,0.05066,False,89.2,94.0,4.8,0.602878,False,68.06,81.4,13.34,0.021792,True,64.0,80.0,16.0,88.0,94.0,6.0,66.0,84.0,18.0,32.0,10.0,-22.0,12.0,6.0,-6.0,24.0,14.0,-10.0,2.0,4.0,2.0,6.0,0.0,-6.0,635.68,624.68,-11.0,-1.73,17817.4,1597.9,-16219.5,-91.03,per_sample
retriever,run_20260518_214033_unknown_ac2bbe71,baseline_k_grounded -> baseline_s_grounded,baseline_k_grounded,baseline_s_grounded,50,52.0,58.4,6.4,0.330381,False,84.0,69.8,-14.2,0.047148,True,95.2,93.4,-1.8,0.621718,False,82.0,80.2,-1.8,0.792635,False,68.14,62.32,-5.82,0.139703,False,52.0,58.0,6.0,82.0,80.0,-2.0,84.0,78.0,-6.0,14.0,16.0,2.0,16.0,20.0,4.0,32.0,22.0,-10.0,0.0,0.0,0.0,10.0,10.0,0.0,628.28,610.7,-17.58,-2.8,21444.5,1413.5,-20031.0,-93.41,per_sample
retriever,run_20260518_214033_unknown_ac2bbe71,baseline_k_rr_grounded -> baseline_s_rr_grounded,baseline_k_rr_grounded,baseline_s_rr_grounded,50,62.0,78.2,16.2,0.007629,True,86.4,87.6,1.2,0.819013,False,97.8,97.8,0.0,1.0,False,81.4,92.4,11.0,0.036701,True,68.66,80.98,12.32,0.100014,False,62.0,78.0,16.0,82.0,92.0,10.0,84.0,88.0,4.0,12.0,12.0,0.0,18.0,4.0,-14.0,20.0,14.0,-6.0,0.0,2.0,2.0,8.0,10.0,2.0,635.68,624.68,-11.0,-1.73,17855.1,1719.5,-16135.6,-90.37,per_sample
